Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2012-2013,19,Paris S-G,fr FRA,1. Ligue 1,1st,2,1,103,1.1,1,0.87,4,3,75,0,2,0,1,100,,,,,,1,,,,,,,,,,,,,,
2013-2014,20,Lens,fr FRA,2. Ligue 2,2nd,34,34,"3,030",33.7,33,0.98,119,86,72.3,16,12,5,14,41.2,,,,,,0,,,,,,,,,,,,,,
2014-2015,21,Bastia,fr FRA,1. Ligue 1,12th,35,35,"3,150",35,42,1.2,140,98,70,12,9,14,11,31.4,,,,,,0,,,,,,,,,,,,,,
2015-2016,22,Villarreal,es ESP,1. La Liga,4th,32,32,"2,880",32,26,0.81,104,80,76,17,8,7,15,46.9,2,1,1,0,50,0,,,,,,,,,,,,,,
2016-2017,23,Paris S-G,fr FRA,1. Ligue 1,2nd,15,14,"1,297",14.4,14,0.97,35,21,62.9,9,2,3,6,42.9,1,1,0,0,0,0,,,,,,,,,,,,,,
2017-2018,24,Paris S-G,fr FRA,1. Ligue 1,1st,34,34,"3,060",34,25,0.74,102,77,76.5,26,6,2,17,50,3,1,1,1,50,2,833,899,92.7,18928,12913,153,154,99.4,514,518,99.2,156,217,71.9
2018-2019,25,Paris S-G,fr FRA,1. Ligue 1,1st,21,21,"1,890",21,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0,1,445,516,86.2,10564,7543,94,94,100,251,254,98.8,99,166,59.6
2019-2020,26,Paris S-G,fr FRA,1. Ligue 1,1st,3,3,270,3,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,,1,57,58,98.3,1073,843,23,23,100,27,27,100,6,6,100
2019-2020,26,Real Madrid,es ESP,1. La Liga,1st,4,4,360,4,5,1.25,14,9,78.6,3,1,0,1,25,2,2,0,0,0,1,113,134,84.3,2890,1887,17,17,100,65,65,100,31,52,59.6
2020-2021,27,Fulham,eng ENG,1. Premier League,18th,36,36,"3,240",36,48,1.33,161,114,73.9,5,13,18,9,25,6,6,0,0,0,0,746,1014,73.6,18222,12486,272,274,99.3,254,256,99.2,204,465,43.9
2021-2022,28,West Ham,eng ENG,1. Premier League,7th,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,0,21,40,52.5,785,656,2,2,100,8,8,100,11,30,36.7
2022-2023,29,West Ham,eng ENG,1. Premier League,14th,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50,2,2,0,0,0,0,67,92,72.8,1737,1323,25,25,100,22,22,100,19,43,44.2
2023-2024,30,West Ham,eng ENG,1. Premier League,6th,17,17,"1,530",17,24,1.41,91,67,76.9,8,4,5,4,23.5,4,3,1,0,25,0,332,508,65.4,10512,7664,41,42,97.6,148,148,100,141,313,45
