Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Awards
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19,,,,,,,,,,,,,,,Yes
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38,,,,,,,,,,,,,,,Yes
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29,,,,,,,,,,,,,,,No
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28,,,,,,,,,,,,,,,Yes
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37,,,,,,,,,,,,,,,No
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,36.8,,,,,,,,,,,,,,,No
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34,,,,,,,,,,,,,,,No
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35,,,,,,,,,,,,,,,No
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37,686,1092,62.8,23707,20013,74,75,98.7,287,289,99.3,321,721,44.5,No
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38,719,1106,65,25229,21426,76,77,98.7,283,290,97.6,359,733,49,No
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38,736,941,78.2,16748,11389,213,215,99.1,370,376,98.4,150,344,43.6,No
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,25.5,464,592,78.4,10858,7535,143,144,99.3,203,211,96.2,112,228,49.1,No
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38,677,924,73.3,16463,11234,176,178,98.9,332,343,96.8,166,397,41.8,No
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38,866,1218,71.1,22585,16134,199,199,100,402,410,98,260,596,43.6,Yes
