Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Harry Kane,eng�ENG,FW,30-122,12,12,1048,11.6,18,5,23,15,3,3,1,0,12.2,9.8,4.6,14.4,12,36,56,1.55,0.43,1.98,1.29,1.72,1.04,0.4,1.44,0.84,1.24
Kim Min-jae,kr�KOR,DF,27-012,12,12,1047,11.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,4,74,2,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
Leroy San�,de�GER,FW,27-320,12,12,1044,11.6,8,6,14,8,0,0,1,0,7.9,7.9,6.3,14.3,64,60,151,0.69,0.52,1.21,0.69,1.21,0.69,0.55,1.23,0.69,1.23
Alphonso Davies,ca�CAN,DF,23-025,11,10,865,9.6,0,3,3,0,0,0,0,0,0.2,0.2,1.3,1.6,50,54,54,0,0.31,0.31,0,0.31,0.02,0.14,0.16,0.02,0.16
Kingsley Coman,fr�FRA,FW,27-167,10,10,770,8.6,3,3,6,3,0,0,1,0,2.3,2.3,3.6,5.9,54,40,117,0.35,0.35,0.7,0.35,0.7,0.27,0.42,0.69,0.27,0.69
Joshua Kimmich,de�GER,MF,28-292,10,10,766,8.5,0,3,3,0,0,0,0,1,0.4,0.4,2.4,2.7,12,89,16,0,0.35,0.35,0,0.35,0.04,0.28,0.32,0.04,0.32
Dayot Upamecano,fr�FRA,DF,25-031,10,9,780,8.7,1,0,1,1,0,0,1,0,0.8,0.8,0.1,1,9,56,1,0.12,0,0.12,0.12,0.12,0.1,0.01,0.11,0.1,0.11
Noussair Mazraoui,ma�MAR,DF,26-013,10,9,775,8.6,0,3,3,0,0,0,3,0,0.8,0.8,1.5,2.2,24,76,52,0,0.35,0.35,0,0.35,0.09,0.17,0.26,0.09,0.26
Leon Goretzka,de�GER,MF,28-294,10,9,741,8.2,2,1,3,2,0,0,0,0,2.2,2.2,1,3.2,23,48,26,0.24,0.12,0.36,0.24,0.36,0.26,0.13,0.39,0.26,0.39
Konrad Laimer,at�AUT,"DF,MF",26-184,12,8,791,8.8,0,2,2,0,0,0,2,0,0.2,0.2,2.1,2.2,33,47,32,0,0.23,0.23,0,0.23,0.02,0.24,0.26,0.02,0.26
Sven Ulreich,de�GER,GK,35-116,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Musiala,de�GER,MF,20-274,7,5,458,5.1,2,2,4,2,0,0,1,0,1.7,1.7,1.6,3.3,22,27,32,0.39,0.39,0.79,0.39,0.79,0.34,0.31,0.66,0.34,0.66
Manuel Neuer,de�GER,GK,37-245,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thomas M�ller,de�GER,MF,34-075,10,4,331,3.7,1,4,5,1,0,0,0,0,0.9,0.9,3,3.9,10,15,40,0.27,1.09,1.36,0.27,1.36,0.25,0.82,1.06,0.25,1.06
Matthijs de Ligt,nl�NED,DF,24-107,7,3,251,2.8,1,0,1,1,0,0,2,0,1.2,1.2,0,1.2,2,10,1,0.36,0,0.36,0.36,0.36,0.42,0,0.42,0.42,0.42
Serge Gnabry,de�GER,"FW,MF",28-136,4,3,221,2.5,0,0,0,0,0,0,0,0,1.1,1.1,0.5,1.7,11,10,26,0,0,0,0,0,0.47,0.22,0.69,0.47,0.69
Eric Maxim Choupo-Moting,cm�CMR,"MF,FW",34-249,11,2,256,2.8,2,0,2,2,0,0,1,0,3.2,3.2,0.8,4.1,7,8,30,0.7,0,0.7,0.7,0.7,1.14,0.29,1.42,1.14,1.42
Aleksandar Pavlovic,de�GER,MF,19-208,3,1,119,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,4,16,0,0,0.76,0.76,0,0.76,0.07,0.19,0.26,0.07,0.26
Bouna Sarr,sn�SEN,DF,31-300,2,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,2,4,0,0,0,0,0,0.19,0,0.19,0.19,0.19
Mathys Tel,fr�FRA,"FW,MF",18-214,10,0,205,2.3,3,2,5,3,0,0,1,0,0.7,0.7,0.3,1,9,5,24,1.32,0.88,2.2,1.32,2.2,0.3,0.15,0.45,0.3,0.45
Rapha�l Guerreiro,pt�POR,MF,29-340,2,0,75,0.8,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,2,4,6,1.2,0,1.2,1.2,1.2,0.39,0,0.39,0.39,0.39
Frans Kr�tzig,de�GER,"DF,MF",20-317,3,0,54,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0,0,0,0,0,0.43,0.43,0.87,0.43,0.87
Ryan Gravenberch,nl�NED,FW,21-195,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,1,3,0,0,0,0,0,0,1.92,1.92,0,1.92
Taichi Fukui,jp�JPN,MF,19-135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom H�lsmann,de�GER,GK,19-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Pavard,fr�FRA,DF,27-244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Peretz,il�ISR,GK,23-140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,27.9,12,132,"1,080",12,42,35,77,39,3,3,17,1,35.9,33.6,29.9,63.5,355,686,680,3.5,2.92,6.42,3.25,6.17,2.99,2.49,5.48,2.8,5.29
Opponent Total,,,27.1,12,132,"1,080",12,9,5,14,8,1,1,18,2,8.5,7.7,6.1,13.8,154,317,314,0.75,0.42,1.17,0.67,1.08,0.71,0.51,1.21,0.64,1.15
